illuminance,timestamp [ns]
1822578,1666344684466402006
1824647,1666344684470423006
1824220,1666344684478405006
1824271,1666344684482409006
1822921,1666344684486410006
1824156,1666344684490749006
1826167,1666344684498383006
1822312,1666344684502389006
1823827,1666344684506347006
1824112,1666344684510401006
1824060,1666344684518383006
1823121,1666344684522551006
1824284,1666344684526405006
1823317,1666344684530346006
1822558,1666344684538382006
1823631,1666344684542372006
1824653,1666344684546409006
1822871,1666344684550465006
1826291,1666344684558389006
1823584,1666344684562385006
1823727,1666344684566425006
1824545,1666344684570515006
1824569,1666344684578402006
1824883,1666344684582448006
1821897,1666344684586477006
1821787,1666344684590459006
1824719,1666344684598415006
1821391,1666344684602441006
1825685,1666344684606411006
1824106,1666344684610433006
1823078,1666344684618400006
1823101,1666344684622511006
1824359,1666344684626604006
1823003,1666344684630441006
1823222,1666344684638429006
1823946,1666344684642453006
1823863,1666344684646470006
1821358,1666344684650517006
1825370,1666344684658473006
1823929,1666344684662422006
1824085,1666344684666462006
1823788,1666344684670466006
1824997,1666344684678442006
1823015,1666344684682479006
1822842,1666344684686442006
1824477,1666344684690462006
1824406,1666344684698427006
1822781,1666344684702463006
1824231,1666344684706499006
1823641,1666344684710464006
1824383,1666344684718434006
1824178,1666344684722469006
1823794,1666344684726500006
1823451,1666344684730444006
1821665,1666344684738455006
1824993,1666344684742483006
1824198,1666344684746499006
1822230,1666344684750530006
1824434,1666344684758429006
1824664,1666344684762462006
1823113,1666344684766370006
1822797,1666344684770459006
1824960,1666344684778476006
1823092,1666344684782493006
1820922,1666344684786376006
1823713,1666344684790476006
1823655,1666344684798475006
1821960,1666344684802445006
1825173,1666344684807109006
1824192,1666344684810484006
1823428,1666344684818508006
1824785,1666344684822391006
1824507,1666344684826486006
1823176,1666344684830475006
1821904,1666344684838471006
1823368,1666344684842486006
1823597,1666344684848256006
1822257,1666344684850541006
1825492,1666344684858442006
1822541,1666344684862481006
1823502,1666344684866453006
1823631,1666344684870475006
1824666,1666344684878448006
1823421,1666344684882480006
1821902,1666344684886459006
1822803,1666344684890683006
1824118,1666344684898466006
1823087,1666344684902460006
1824519,1666344684906564006
1823720,1666344684910464006
1823966,1666344684918454006
1824495,1666344684922463006
1824955,1666344684926404006
1821579,1666344684930475006
1823511,1666344684938466006
1823088,1666344684942379006
1822692,1666344684946481006
1821958,1666344684950438006
1824270,1666344684958449006
1824245,1666344684962502006
1822819,1666344684966424006
1822813,1666344684970395006
1824138,1666344684978431006
1823457,1666344684982448006
1822507,1666344684986370006
1823469,1666344684990465006
1824622,1666344684998450006
1820996,1666344685002508006
1824397,1666344685006408006
1824018,1666344685010449006
1823832,1666344685018440006
1825029,1666344685022492006
1823570,1666344685026376006
1822234,1666344685030455006
1824426,1666344685038439006
1822712,1666344685042439006
1823130,1666344685046407006
1821366,1666344685050439006
1825707,1666344685058409006
1822694,1666344685062427006
1824133,1666344685066389006
1824351,1666344685070454006
1823470,1666344685078471006
1822536,1666344685082379006
1822644,1666344685086422006
1823933,1666344685090484006
1824309,1666344685098445006
1821827,1666344685102445006
1826001,1666344685106405006
1823180,1666344685114439006
1823207,1666344685118433006
1822529,1666344685122366006
1822933,1666344685126370006
1824233,1666344685134460006
1822076,1666344685138431006
1823721,1666344685142383006
1822946,1666344685146377006
1820772,1666344685154458006
1826295,1666344685158503006
1822808,1666344685162364006
1823267,1666344685166428006
1822994,1666344685174482006
1824417,1666344685178444006
1822701,1666344685182394006
1823184,1666344685186442006
1822586,1666344685194476006
1824589,1666344685198464006
1821536,1666344685202373006
1825054,1666344685206551006
1822430,1666344685214438006
1823788,1666344685218464006
1824174,1666344685222403006
1823234,1666344685226465006
1822190,1666344685234490006
1822607,1666344685238455006
1823695,1666344685242418006
1823709,1666344685246436006
1820671,1666344685254417006
1825312,1666344685258406006
1822794,1666344685262377006
1823160,1666344685266423006
1822667,1666344685274401006
1823646,1666344685278362006
1822527,1666344685282337006
1822541,1666344685286394006
1822932,1666344685294408006
1822876,1666344685298356006
1820580,1666344685302419006
1825782,1666344685306421006
1821737,1666344685314474006
1823935,1666344685318389006
1824683,1666344685322470006
1822984,1666344685326441006
1821611,1666344685334441006
1821655,1666344685338374006
1823523,1666344685342478006
1823367,1666344685346445006
1819842,1666344685354459006
1826002,1666344685358380006
1822668,1666344685362401006
1822565,1666344685366431006
1822953,1666344685374401006
1824491,1666344685378359006
1822457,1666344685382885006
1822287,1666344685386373006
1823118,1666344685394402006
1822765,1666344685398354006
1822136,1666344685402408006
1826153,1666344685406381006
1822123,1666344685414367006
1822985,1666344685418333006
1825055,1666344685422388006
1822170,1666344685426382006
1822851,1666344685434385006
1823968,1666344685438411006
1823383,1666344685442407006
1822176,1666344685446388006
1821290,1666344685454424006
1824200,1666344685458402006
1821662,1666344685462392006
1822896,1666344685466360006
1824675,1666344685474435006
1821870,1666344685478417006
1823227,1666344685482449006
1822910,1666344685486464006
1822907,1666344685494669006
1823346,1666344685498409006
1821927,1666344685502401006
1824477,1666344685506414006
1823169,1666344685514427006
1823268,1666344685518421006
1825265,1666344685522411006
1822849,1666344685526389006
1821498,1666344685534391006
1823557,1666344685538403006
1824611,1666344685542387006
1822641,1666344685546376006
1821384,1666344685554393006
1825789,1666344685558377006
1822373,1666344685562439006
1823223,1666344685566438006
1824498,1666344685574388006
1823265,1666344685578373006
1821775,1666344685582382006
1822584,1666344685586421006
1821077,1666344685594367006
1822876,1666344685598368006
1822755,1666344685602388006
1825127,1666344685606385006
1822606,1666344685614484006
1824322,1666344685618454006
1824461,1666344685622401006
1822710,1666344685626446006
1821906,1666344685634437006
1822834,1666344685638439006
1821763,1666344685642419006
1822332,1666344685646592006
1821326,1666344685654417006
1824379,1666344685658388006
1822040,1666344685662421006
1823123,1666344685666435006
1821804,1666344685674432006
1824413,1666344685678365006
1822699,1666344685682437006
1822480,1666344685686422006
1822130,1666344685694451006
1822793,1666344685698422006
1822460,1666344685702353006
1823231,1666344685706438006
1822363,1666344685714455006
1823535,1666344685718433006
1824273,1666344685722478006
