illuminance,timestamp [ns]
1930703,1666344684449078006
1931568,1666344684457110006
1937257,1666344684461092006
1930975,1666344684465084006
1931744,1666344684469134006
1935741,1666344684477145006
1931907,1666344684481116006
1931363,1666344684485168006
1935227,1666344684489040006
1938601,1666344684497291006
1930969,1666344684501084006
1931588,1666344684505000006
1936813,1666344684509034006
1932231,1666344684517118006
1932236,1666344684521340006
1935638,1666344684525053006
1931939,1666344684528997006
1932696,1666344684537105006
1934786,1666344684541095006
1935031,1666344684544995006
1932566,1666344684549108006
1932073,1666344684557114006
1936932,1666344684561151006
1930796,1666344684565116006
1929924,1666344684573108006
1938248,1666344684577274006
1931734,1666344684581083006
1931985,1666344684585132006
1934358,1666344684593166006
1935571,1666344684597142006
1931603,1666344684601173006
1932548,1666344684605118006
1936605,1666344684613311006
1930591,1666344684617290006
1930570,1666344684621156006
1936876,1666344684625158006
1929842,1666344684633174006
1934720,1666344684637273006
1934753,1666344684641177006
1935688,1666344684645165006
1930823,1666344684653178006
1934030,1666344684657173006
1938152,1666344684661307006
1931141,1666344684665121006
1929041,1666344684673161006
1937502,1666344684677308006
1931056,1666344684681175006
1933343,1666344684685165006
1934611,1666344684693195006
1934929,1666344684697333006
1931682,1666344684701205006
1933157,1666344684705159006
1934283,1666344684713186006
1932260,1666344684717366006
1931303,1666344684721186006
1937991,1666344684725195006
1929163,1666344684733287006
1932850,1666344684737195006
1936633,1666344684741170006
1934507,1666344684745186006
1930700,1666344684753199006
1934640,1666344684757324006
1934244,1666344684761164006
1932011,1666344684765055006
1932111,1666344684773215006
1937798,1666344684777181006
1930983,1666344684781123006
1932011,1666344684785086006
1936143,1666344684793166006
1935271,1666344684797171006
1929834,1666344684801168006
1932485,1666344684805111006
1934785,1666344684813206006
1931078,1666344684817202006
1932497,1666344684821190006
1936739,1666344684825175006
1929951,1666344684833191006
1932851,1666344684837180006
1937083,1666344684841170006
1935245,1666344684845141006
1931992,1666344684853209006
1933638,1666344684857199006
1933985,1666344684861192006
1930919,1666344684865185006
1932219,1666344684873220006
1936872,1666344684877164006
1930569,1666344684881248006
1932008,1666344684885184006
1935888,1666344684893501006
1936397,1666344684897033006
1931355,1666344684901177006
1932966,1666344684905148006
1934814,1666344684913160006
1930844,1666344684917161006
1933066,1666344684921162006
1936336,1666344684925126006
1929953,1666344684933218006
1931825,1666344684937180006
1936373,1666344684941200006
1934219,1666344684945157006
1931527,1666344684953216006
1933117,1666344684957189006
1935092,1666344684961173006
1929895,1666344684965216006
1933094,1666344684973372006
1935684,1666344684977201006
1931228,1666344684981237006
1931534,1666344684985089006
1934977,1666344684993038006
1932737,1666344684997052006
1931608,1666344685001170006
1933915,1666344685005046006
1934790,1666344685013156006
1930801,1666344685017174006
1932146,1666344685021152006
1935302,1666344685025109006
1930702,1666344685033232006
1933989,1666344685037163006
1935988,1666344685041182006
1933027,1666344685045088006
1930527,1666344685053159006
1935415,1666344685057342006
1934303,1666344685061166006
1931096,1666344685065108006
1931838,1666344685073173006
1936740,1666344685077185006
1930514,1666344685081141006
1932707,1666344685085067006
1935999,1666344685093064006
1933531,1666344685097315006
1932695,1666344685101175006
1934779,1666344685105067006
1934766,1666344685113274006
1930527,1666344685117221006
1932459,1666344685121217006
1936292,1666344685125185006
1930476,1666344685133129006
1934564,1666344685137161006
1936597,1666344685141220006
1933099,1666344685145091006
1930733,1666344685153157006
1933839,1666344685157173006
1934042,1666344685161297006
1930442,1666344685165058006
1931385,1666344685173330006
1935090,1666344685177213006
1931066,1666344685181082006
1934190,1666344685185079006
1934989,1666344685193089006
1932606,1666344685197231006
1931549,1666344685201101006
1934524,1666344685205055006
1933864,1666344685213331006
1931626,1666344685217232006
1932457,1666344685221112006
1934546,1666344685225102006
1930474,1666344685233151006
1933878,1666344685237232006
1935756,1666344685241115006
1933368,1666344685245084006
1930254,1666344685253182006
1935233,1666344685257167006
1934351,1666344685261046006
1930828,1666344685265148006
1932395,1666344685273124006
1935471,1666344685277083006
1931254,1666344685281065006
1932492,1666344685285097006
1935334,1666344685293145006
1932844,1666344685297029006
1930886,1666344685301051006
1935590,1666344685305151006
1931702,1666344685313146006
1932963,1666344685317081006
1930958,1666344685321052006
1934277,1666344685325005006
1929771,1666344685333213006
1935105,1666344685337081006
1936807,1666344685341058006
1932084,1666344685349176006
1931121,1666344685353163006
1935711,1666344685357104006
1932267,1666344685361279006
1932073,1666344685369141006
