illuminance,timestamp [ns]
1455452,1666344683735779691
1454677,1666344683740114691
1454610,1666344683743803691
1455328,1666344683747740691
1456021,1666344683755720691
1455520,1666344683759676691
1453067,1666344683763679691
1453661,1666344683767703691
1452762,1666344683775709691
1452856,1666344683783749691
1452816,1666344683787900691
1452339,1666344683795738691
1452647,1666344683799803691
1452969,1666344683803709691
1453291,1666344683807732691
1451590,1666344683815768691
1453367,1666344683819720691
1452840,1666344683823707691
1452074,1666344683827801691
1452412,1666344683836268691
1451933,1666344683839684691
1452589,1666344683843658691
1453557,1666344683847665691
1453650,1666344683855737691
1453433,1666344683859669691
1452434,1666344683863663691
1453351,1666344683867685691
1451027,1666344683875672691
1450887,1666344683879671691
1451694,1666344683883668691
1451593,1666344683887767691
1451678,1666344683895668691
1452157,1666344683899680691
1453162,1666344683903700691
1452513,1666344683907703691
1453093,1666344683915689691
1453351,1666344683919674691
1452232,1666344683923680691
1452990,1666344683927708691
1453293,1666344683935652691
1451564,1666344683939679691
1451335,1666344683943734691
1452476,1666344683947677691
1453736,1666344683955678691
1453067,1666344683959670691
1452575,1666344683963691691
1453826,1666344683967690691
1452057,1666344683975810691
1452655,1666344683979664691
1452298,1666344683983677691
1452257,1666344683987753691
1451924,1666344683995680691
1452694,1666344683999689691
1453532,1666344684003682691
1453319,1666344684007677691
1452981,1666344684015666691
1453408,1666344684019673691
1452767,1666344684023679691
1453856,1666344684027694691
1453522,1666344684035673691
1452444,1666344684039668691
1452140,1666344684043676691
1453271,1666344684047773691
1453293,1666344684055668691
1453322,1666344684059713691
1452359,1666344684063685691
1453953,1666344684067686691
1452423,1666344684075684691
1452152,1666344684079680691
1453247,1666344684083684691
1452762,1666344684087698691
1451915,1666344684095678691
1452885,1666344684099678691
1453436,1666344684103683691
1453380,1666344684107678691
1451708,1666344684115704691
1452917,1666344684119696691
1452500,1666344684123682691
1453389,1666344684127754691
1452900,1666344684135683691
1452272,1666344684139668691
1452737,1666344684143705691
1451833,1666344684147678691
1452533,1666344684155825691
1452765,1666344684159693691
1452785,1666344684163690691
1453222,1666344684167694691
1451752,1666344684175689691
1452309,1666344684179679691
1451944,1666344684183688691
1451640,1666344684191686691
1450788,1666344684195699691
1452572,1666344684199679691
1452827,1666344684203686691
1452971,1666344684211671691
1452438,1666344684215684691
1452749,1666344684219677691
1451887,1666344684223677691
1452152,1666344684231679691
1451840,1666344684235735691
1451958,1666344684239731691
1452325,1666344684243686691
1452930,1666344684251662691
1452622,1666344684255667691
1452375,1666344684259658691
1451784,1666344684263666691
1453633,1666344684271664691
1452144,1666344684275667691
1452795,1666344684279664691
1453560,1666344684283689691
1452136,1666344684291674691
1452477,1666344684295661691
1453407,1666344684299672691
1453121,1666344684303684691
1453195,1666344684311672691
1452295,1666344684315671691
1453331,1666344684319679691
1452606,1666344684323707691
1452038,1666344684331696691
1452160,1666344684335695691
1452657,1666344684339702691
1452498,1666344684343699691
1453404,1666344684351669691
1452899,1666344684355682691
1453165,1666344684359683691
1452966,1666344684363676691
1453869,1666344684371669691
1452600,1666344684375665691
1452866,1666344684379673691
1451377,1666344684383687691
1452573,1666344684391666691
1451799,1666344684395683691
1452325,1666344684399683691
1453344,1666344684403688691
1453163,1666344684411676691
1452814,1666344684415677691
1453739,1666344684419693691
1452278,1666344684423689691
1453219,1666344684431682691
1452614,1666344684435686691
1452172,1666344684439679691
1452644,1666344684443675691
1452632,1666344684451673691
1452982,1666344684455684691
1452506,1666344684459745691
1452214,1666344684463781691
1452931,1666344684471671691
1452377,1666344684475719691
1452779,1666344684479669691
1452947,1666344684483668691
1452960,1666344684491659691
1452876,1666344684495748691
1453064,1666344684499694691
1454025,1666344684503693691
1453526,1666344684511658691
1452980,1666344684515773691
1453228,1666344684519685691
1452860,1666344684523676691
1452750,1666344684531675691
1452819,1666344684535676691
1452007,1666344684539677691
1452636,1666344684543671691
1453039,1666344684551812691
1452791,1666344684555678691
1452732,1666344684559680691
1452153,1666344684563684691
1453549,1666344684571681691
1452850,1666344684575673691
1452460,1666344684579669691
1452485,1666344684583674691
1452424,1666344684591686691
1452445,1666344684595671691
1452292,1666344684599694691
1452736,1666344684603753691
1452515,1666344684611681691
1451314,1666344684615679691
1452998,1666344684619689691
1452517,1666344684623700691
1452221,1666344684631688691
1452142,1666344684635688691
1452110,1666344684639689691
1452267,1666344684643687691
1452840,1666344684651668691
1453089,1666344684655694691
1452822,1666344684659694691
1451785,1666344684663694691
1453500,1666344684671678691
1451584,1666344684675678691
1451938,1666344684679675691
1451444,1666344684683715691
1452025,1666344684691678691
1451277,1666344684695708691
1452218,1666344684699746691
1452960,1666344684703687691
1452295,1666344684711656691
1451112,1666344684715666691
1451765,1666344684719675691
1451323,1666344684723739691
1451978,1666344684731678691
1451709,1666344684735696691
1450538,1666344684739696691
1451544,1666344684743722691
1452429,1666344684751667691
1452284,1666344684755667691
1452853,1666344684759678691
1451401,1666344684763667691
1452877,1666344684771676691
1452495,1666344684775683691
1452101,1666344684779677691
1451969,1666344684783680691
1452338,1666344684791700691
1451885,1666344684795679691
1453005,1666344684799756691
1453313,1666344684803685691
1452834,1666344684811662691
1451153,1666344684815663691
1453020,1666344684819669691
1452487,1666344684823658691
1452457,1666344684831648691
1451967,1666344684835678691
1451803,1666344684839688691
1452577,1666344684843690691
1452636,1666344684851680691
1452820,1666344684855681691
1452316,1666344684859679691
1451127,1666344684863689691
1452599,1666344684871672691
1452295,1666344684875664691
1451270,1666344684879682691
1451310,1666344684883660691
1451916,1666344684891681691
1451659,1666344684895670691
1452108,1666344684899658691
1452450,1666344684903691691
1452984,1666344684911680691
1451899,1666344684915675691
1452987,1666344684919661691
1451862,1666344684923681691
1452516,1666344684931662691
1452684,1666344684935674691
1452417,1666344684939673691
1451653,1666344684943669691
1452330,1666344684951661691
1452658,1666344684955661691
1451981,1666344684959676691
1451969,1666344684967667691
1453097,1666344684971652691
1452146,1666344684975660691
1451060,1666344684979651691
1452144,1666344684987748691
1453187,1666344684991669691
1451616,1666344684995736691
1452447,1666344684999684691
1453866,1666344685007669691
1453057,1666344685011676691
1452183,1666344685015704691
1453528,1666344685019701691
1452976,1666344685027670691
1452839,1666344685031698691
1452628,1666344685035680691
1452872,1666344685039661691
1452445,1666344685047650691
1452653,1666344685051650691
1452623,1666344685055671691
1452151,1666344685059672691
1451669,1666344685067674691
1452034,1666344685071663691
1451451,1666344685075700691
