illuminance,timestamp [ns]
1645635,1666344683639098691
1648897,1666344683643041691
1649674,1666344683647017691
1649225,1666344683651075691
1649503,1666344683659046691
1647870,1666344683663082691
1645178,1666344683667042691
1645838,1666344683671245691
1644225,1666344683679098691
1645101,1666344683683051691
1645654,1666344683687183691
1646505,1666344683690955691
1645482,1666344683699019691
1645464,1666344683703025691
1645256,1666344683707031691
1644084,1666344683711233691
1643659,1666344683719108691
1644848,1666344683723088691
1644475,1666344683727041691
1644673,1666344683732230691
1644774,1666344683739214691
1644843,1666344683744025691
1644742,1666344683747147691
1645058,1666344683751115691
1644952,1666344683759035691
1643748,1666344683763049691
1643540,1666344683767068691
1644663,1666344683771043691
1643917,1666344683779313691
1644768,1666344683783110691
1644734,1666344683787296691
1644765,1666344683791167691
1643910,1666344683799389691
1644321,1666344683803125691
1644793,1666344683807173691
1644023,1666344683811244691
1644381,1666344683819251691
1645840,1666344683823138691
1644924,1666344683827089691
1644158,1666344683830946691
1644873,1666344683839144691
1645761,1666344683843004691
1644935,1666344683846903691
1644093,1666344683850935691
1645042,1666344683859062691
1644269,1666344683863102691
1644050,1666344683866932691
1645711,1666344683870912691
1645249,1666344683879027691
1645295,1666344683883003691
1645190,1666344683886954691
1646389,1666344683891030691
1645099,1666344683899035691
1644235,1666344683903063691
1645716,1666344683907225691
1643991,1666344683911061691
1644451,1666344683919041691
1645513,1666344683923045691
1644634,1666344683927019691
1645097,1666344683931014691
1644768,1666344683939029691
1646197,1666344683943040691
1646072,1666344683947021691
1645502,1666344683951032691
1645706,1666344683959064691
1644047,1666344683963029691
1644380,1666344683967026691
1645315,1666344683971170691
1644833,1666344683979108691
1645303,1666344683983017691
1644878,1666344683987016691
1646149,1666344683990958691
1644714,1666344683999020691
1644383,1666344684002982691
1644609,1666344684007036691
1644188,1666344684011017691
1643709,1666344684019169691
1644809,1666344684023028691
1643770,1666344684027024691
1644734,1666344684031028691
1645150,1666344684039013691
1645526,1666344684043034691
1643736,1666344684047073691
1644516,1666344684051029691
1645082,1666344684059057691
1644370,1666344684063079691
1644069,1666344684067056691
1645965,1666344684071046691
1644846,1666344684079020691
1644080,1666344684083017691
1644269,1666344684087019691
1644979,1666344684090935691
1644563,1666344684099052691
1644277,1666344684103039691
1644868,1666344684106942691
1644326,1666344684110996691
1644471,1666344684118958691
