2024-08-12 10:51:14:702 | plot.run_plot_task[121] | ERROR[MainThread]： 'MapSettings' object has no attribute 'dpi'
2024-08-12 10:52:03:113 | plot.run_plot_task[121] | ERROR[MainThread]： 'DataDetailSettings' object has no attribute 'wind_paths'
2024-08-12 10:52:31:139 | plot.run_plot_task[121] | ERROR[MainThread]： 'NoneType' object has no attribute 'format'
2024-08-12 10:54:24:486 | plot.run_plot_task[121] | ERROR[MainThread]： object NoneType can't be used in 'await' expression
2024-08-12 12:30:58:081 | plot.run_plot_task[123] | ERROR[MainThread]： 'NoneType' object has no attribute 'get'
2024-08-12 12:36:32:211 | plot.run_plot_task[123] | ERROR[MainThread]： 'DataDetailSettings' object has no attribute 'u_path_fmt'
2024-08-12 12:36:50:369 | plot.run_plot_task[123] | ERROR[MainThread]： 'WindBarSettings' object has no attribute 'size'
2024-08-12 12:38:02:245 | plot.run_plot_task[123] | ERROR[MainThread]： 'WindBarSettings' object has no attribute 'regrid_shape'
2024-08-12 12:38:49:430 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 12:40:11:612 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 12:41:12:111 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 12:41:34:480 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 12:43:13:321 | plot.run_plot_task[123] | ERROR[MainThread]： Points cannot contain NaN
2024-08-12 12:44:21:669 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 12:46:37:896 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:15:59:071 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:17:10:880 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:17:38:790 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:26:09:987 | plot.run_plot_task[123] | ERROR[MainThread]： 'DrawImages' object has no attribute '_DrawImages__set_x_y_axis'
2024-08-12 16:27:14:365 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:27:49:871 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:29:57:633 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:30:29:671 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:37:30:179 | plot.run_plot_task[123] | ERROR[MainThread]： 
2024-08-12 16:38:08:963 | plot.run_plot_task[123] | ERROR[MainThread]： 
2024-08-12 16:39:22:758 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
2024-08-12 16:43:05:842 | plot.run_plot_task[123] | ERROR[MainThread]： index 0 is out of bounds for axis 0 with size 0
2024-08-12 16:43:49:514 | plot.run_plot_task[123] | ERROR[MainThread]： The shapes of the passed in arrays do not match
